Warranty Period(Days),Screen Size,Cpu,Ram,Gpu,OpSys,Weight,Price,Category,Label number
1,15.6,B,6,Q,WI,2.4,38692,Student,4
3,14,A,4,Q,WI,1.75,38692,Student,4
2,15.6,B,4,Q,WI,2.4,38692,Student,4
1,15.6,B,8,R,NO,2.2,38692,Student,4
1,15.6,A,4,R,WI,2.2,38692,Student,4
1,14,B,4,R,WI,1.3,39468,Student,4
1,15.6,B,4,Q,LI,2.1,40243,Student,4
3,15.6,B,8,Q,NO,2.2,40243,Student,4
1,17.3,A,8,Q,WI,2.8,40243,Student,4
1,17,B,8,Q,WI,2.6,40391,Student,4
1,15.6,B,4,Q,WI,2.04,40435,Student,4
1,15.6,B,8,R,LI,2.3,40553,Executive,5
1,17.3,A,4,R,NO,2.8,41019,Executive,5
1,15.6,B,4,Q,WI,2.2,41096,Executive,5
1,17.3,A,4,Q,WI,2.8,41096,Executive,5
3,15.6,B,4,R,WI,2.2,41484,Executive,5
3,15.6,A,6,Q,WI,2.04,41794,Executive,5
1,15.6,A,8,R,WI,1.86,41794,Executive,5
1,15.6,B,8,R,WI,2.14,41868,Executive,5
1,15.6,A,4,R,WI,2.23,42182,Executive,5
1,17.3,A,8,R,WI,2.65,42193,Executive,5
3,15.6,A,4,Q,WI,2.2,42311,Executive,5
3,15.6,B,4,Q,WI,1.9,42569,Executive,5
1,15.6,B,8,R,NO,2.2,42569,Executive,5
1,15.6,B,8,R,NO,2.2,42569,Executive,5
3,15.6,B,6,R,WI,2.2,42569,Executive,5
1,15.6,B,6,R,WI,2.23,42569,Executive,5
1,13.3,B,4,R,WI,1.5,42569,Executive,5
1,11.6,A,4,P,WI,1.59,42880,Executive,5
1,15.6,B,8,R,WI,2.36,43218,Executive,5
3,15.6,A,4,Q,WI,2.18,43314,Executive,5
3,15.6,B,4,Q,WI,2.4,43345,Executive,5
1,15.6,B,4,R,LI,2,43345,Executive,5
1,15.6,B,8,R,WI,2.04,43345,Executive,5
1,17.3,A,4,Q,WI,2,43733,Executive,5
1,15.6,B,6,R,WI,2.4,43733,Executive,5
1,15.6,B,8,Q,WI,2.24,43810,Executive,5
1,15.6,A,4,R,WI,2.3,43810,Executive,5
1,15.6,B,6,R,WI,1.91,44113,Executive,5
1,15.6,B,4,Q,LI,2.18,44120,Executive,5
3,17.3,B,6,Q,WI,2.65,44120,Executive,5
1,15.6,B,4,Q,WI,2.2,44353,Executive,5
1,15.6,B,4,Q,WI,2.2,44586,Executive,5
1,15.6,B,8,R,NO,1.86,44586,Executive,5
3,15.6,B,6,Q,WI,2,44741,Executive,5
2,15.6,B,6,Q,WI,2.2,44896,Executive,5
3,15.6,A,4,Q,WI,2.2,44896,Executive,5
1,15.6,B,4,R,NO,2.45,44896,Executive,5
1,15.6,B,8,R,WI,2.2,44896,Executive,5
3,15.6,C,6,S,WI,2.04,44896,Executive,5
1,15.6,A,8,Q,WI,2,45121,Executive,5
1,15.6,B,4,Q,WI,2.3,45361,Executive,5
1,14,A,4,R,WI,1.76,45361,Executive,5
1,15.6,B,4,R,WI,2,45453,Executive,5
1,15.6,B,4,R,WI,2.18,45485,Executive,5
1,17.3,B,4,Q,WI,2.79,45671,Executive,5
1,17.3,B,8,R,NO,2.8,45671,Executive,5
1,15.6,A,8,R,WI,2.2,45671,Executive,5
1,15.6,B,8,R,WI,1.91,45671,Executive,5
3,15.6,B,8,Q,LI,2.32,45711,Executive,5
3,15.6,B,8,Q,WI,2.3,45749,Executive,5
1,15.6,B,8,R,LI,2.3,46291,Executive,5
1,15.6,B,8,R,WI,2.2,46291,Executive,5
1,15.6,C,8,Q,WI,2.05,46369,Executive,5
1,15.6,B,4,Q,LI,2.3,46439,Executive,5
2,15.6,B,4,Q,WI,2.25,46446,Executive,5
1,15.6,B,8,Q,WI,1.96,46446,Executive,5
1,15.6,B,4,Q,WI,2.1,46446,Executive,5
1,14,B,8,R,NO,1.7,46446,Executive,5
1,14,B,4,R,WI,1.7,46446,Executive,5
3,15.6,C,8,Q,LI,2.2,46516,Executive,5
1,15.6,B,4,R,WI,2.1,46679,Executive,5
1,15.6,C,12,Q,WI,2.2,47222,Executive,5
1,15.6,B,4,Q,WI,2.4,47222,Executive,5
3,15.6,B,4,Q,WI,1.86,47502,Executive,5
1,15.6,B,4,Q,WI,2.2,47532,Executive,5
1,15.6,A,4,Q,WI,2.18,47610,Executive,5
3,11.6,A,4,P,CH,1.4,47687,Executive,5
2,15.6,A,4,Q,WI,2.18,47912,Executive,5
1,15.6,B,8,Q,WI,1.91,47996,Executive,5
1,15.6,B,6,Q,WI,1.91,47997,Executive,5
1,15.6,B,4,Q,WI,2.23,47997,Executive,5
1,14,B,8,R,WI,1.5,47997,Executive,5
1,15.6,B,4,R,WI,2.1,48187,Executive,5
1,15.6,B,8,Q,WI,2.04,48773,Executive,5
1,14,B,4,Q,WI,1.74,48773,Executive,5
1,15.6,B,8,R,NO,2.2,48773,Executive,5
1,15.6,B,4,R,WI,2.05,48850,Executive,5
1,14,B,4,R,WI,1.8,49315,Executive,5
1,15.6,B,8,Q,WI,2.36,49547,Executive,5
2,15.6,B,4,Q,WI,2.3,49548,Executive,5
1,15.6,B,8,R,WI,1.86,49548,Executive,5
1,15.6,C,4,R,WI,2.2,49548,Executive,5
1,13.3,B,6,R,WI,1.5,49549,Executive,5
1,17.3,A,8,R,WI,2.5,49618,Executive,5
1,15.6,B,8,Q,LI,2.2,50168,Programmer,6
3,15.6,B,12,Q,WI,2.25,50323,Programmer,6
1,17.3,B,6,R,WI,2.8,50323,Programmer,6
1,15.6,B,6,R,WI,1.95,50323,Programmer,6
1,13.3,B,8,R,WI,1.62,50323,Programmer,6
2,15.6,B,4,R,WI,2.3,50323,Programmer,6
1,13.3,B,4,R,WI,1.71,50323,Programmer,6
3,15.6,B,6,Q,WI,2.1,50401,Programmer,6
1,17.3,B,4,Q,WI,3,50789,Programmer,6
3,17.3,B,6,R,WI,2.71,50789,Programmer,6
1,13.3,B,4,R,WI,1.6,50789,Programmer,6
1,15.6,B,4,R,WI,2.18,50944,Programmer,6
1,17.3,A,4,Q,WI,2.36,51099,Programmer,6
1,15.6,C,8,R,WI,1.91,51099,Programmer,6
3,13.3,B,8,R,WI,1.55,51099,Programmer,6
3,14,B,6,R,WI,1.58,51099,Programmer,6
1,15.6,B,8,R,WI,2.2,51099,Programmer,6
1,15.6,C,12,S,WI,2.15,51099,Programmer,6
1,15.6,C,8,R,NO,2.2,51100,Programmer,6
1,15.6,B,8,R,WI,1.9,51409,Programmer,6
1,15.6,A,8,R,WI,2,51564,Programmer,6
1,15.6,B,4,R,WI,2.1,51834,Programmer,6
3,15.6,B,4,R,WI,2,51874,Programmer,6
3,15.6,C,8,R,WI,2.2,51874,Programmer,6
1,15.6,B,8,Q,WI,2.2,52340,Programmer,6
1,13.3,B,4,R,WI,1.49,52340,Programmer,6
1,15.6,B,8,Q,LI,2.2,52522,Programmer,6
1,15.6,B,4,R,WI,2.2,52882,Programmer,6
2,15.6,B,4,R,WI,2.3,53099,Programmer,6
2,15.6,B,4,Q,WI,2.18,53114,Programmer,6
3,15.6,C,8,Q,NO,2.2,53115,Programmer,6
2,15.6,B,4,R,WI,2.05,53115,Programmer,6
1,15.6,B,4,R,WI,2.04,53115,Programmer,6
1,15.6,C,8,Q,WI,2.2,53425,Programmer,6
3,15.6,C,4,R,WI,2.1,53425,Programmer,6
1,13.3,B,8,R,WI,1.6,53425,Programmer,6
1,15.6,A,4,R,WI,1.63,53425,Programmer,6
1,13.3,A,4,R,WI,1.65,53425,Programmer,6
1,15.6,B,8,R,WI,1.86,53503,Programmer,6
1,15.6,B,12,Q,WI,2.2,53812,Programmer,6
2,15.6,B,6,Q,WI,2.4,53890,Programmer,6
1,17.3,B,8,Q,NO,2.8,54123,Programmer,6
1,17.3,B,6,Q,WI,2.71,54200,Programmer,6
3,17.3,A,4,Q,WI,2.5,54200,Programmer,6
3,14,B,4,Q,WI,1.7,54200,Programmer,6
1,15.6,C,8,R,WI,1.83,54200,Programmer,6
3,15.6,C,8,R,WI,2.45,54200,Programmer,6
1,13.3,B,4,R,WI,1.32,54200,Programmer,6
3,14,B,4,R,WI,1.63,54200,Programmer,6
1,17.3,B,4,Q,WI,3,54433,Programmer,6
1,15.6,B,4,R,WI,2.1,54704,Programmer,6
3,15.6,B,4,R,WI,2.18,54903,Programmer,6
1,15.6,C,8,R,LI,2.4,54976,Programmer,6
1,15.6,C,12,S,WI,2.3,55291,Programmer,6
1,15.6,B,8,R,WI,2.18,55363,Programmer,6
1,15.6,B,8,R,WI,2.1,55519,Programmer,6
1,17.3,B,6,R,WI,2.8,55751,Programmer,6
3,15.6,B,8,R,WI,2.2,55751,Programmer,6
3,15.6,C,8,R,WI,1.91,55751,Programmer,6
1,13.3,B,4,R,WI,1.49,55751,Programmer,6
1,15.6,B,4,R,WI,2.1,55984,Programmer,6
1,14,B,4,R,WI,1.63,55984,Programmer,6
1,13.3,B,4,Q,WI,1.49,56294,Programmer,6
3,15.6,B,8,R,LI,1.98,56294,Programmer,6
1,15.6,B,8,Q,WI,2.13,56449,Programmer,6
3,15.6,B,4,R,WI,1.95,56596,Programmer,6
2,13.3,B,4,R,WI,1.44,56992,Programmer,6
1,15.6,C,8,Q,LI,2.14,56997,Programmer,6
1,14,A,4,R,WI,1.6,57059,Programmer,6
3,15.6,C,4,Q,WI,2.18,57302,Programmer,6
1,15.6,A,8,Q,WI,2,57302,Programmer,6
1,15.6,B,8,R,WI,2.2,57302,Programmer,6
3,15.6,B,8,R,WI,2.2,57302,Programmer,6
1,15.6,B,8,R,WI,2.05,57302,Programmer,6
3,14,A,8,R,WI,1.79,57380,Programmer,6
1,15.6,C,8,R,WI,2.23,57535,Programmer,6
1,11.6,A,4,Q,WI,1.63,57690,Programmer,6
2,15.6,C,8,Q,WI,2.2,57767,Programmer,6
1,15.6,C,8,Q,WI,3.2,57767,Programmer,6
3,15.6,C,8,R,WI,2.1,57767,Programmer,6
2,15.6,C,8,Q,WI,2.36,58077,Programmer,6
1,15.6,B,4,R,WI,2.2,58077,Programmer,6
1,15.6,B,8,R,WI,2.37,58077,Programmer,6
1,15.6,C,8,Q,LI,2.2,58078,Programmer,6
1,13.3,B,4,R,WI,1.49,58465,Programmer,6
3,14,B,4,R,WI,1.76,58543,Programmer,6
1,15.6,B,8,R,WI,2.02,58853,Programmer,6
1,15.6,C,8,Q,WI,2.13,59535,Programmer,6
1,15.6,B,8,Q,WI,2,59628,Programmer,6
1,14,B,8,R,WI,1.6,59706,Programmer,6
2,11.6,A,4,Q,WI,1.45,60094,Data Scientist,7
1,15.6,B,4,R,WI,2.2,60171,Data Scientist,7
1,15.6,C,8,Q,LI,2.33,60394,Data Scientist,7
1,15.6,D,8,R,LI,2.4,60404,Data Scientist,7
1,15.6,C,8,R,NO,2.4,60404,Data Scientist,7
3,15.6,C,4,S,WI,1.85,60404,Data Scientist,7
1,15.6,B,4,R,WI,2.1,60481,Data Scientist,7
1,14,B,4,R,WI,1.87,60869,Data Scientist,7
1,15.6,C,8,R,WI,2.3,61024,Data Scientist,7
1,15.6,B,8,R,WI,2.6,61179,Data Scientist,7
1,15.6,C,6,R,WI,2.2,61179,Data Scientist,7
1,13.3,C,8,S,WI,1.6,61180,Data Scientist,7
1,15.6,B,8,Q,WI,2.18,61242,Data Scientist,7
1,15.6,B,8,R,WI,2,61489,Data Scientist,7
1,15.6,B,8,R,WI,2.1,61567,Data Scientist,7
3,15.6,B,8,R,WI,2.18,61644,Data Scientist,7
1,15.6,B,8,R,WI,2.2,61831,Data Scientist,7
1,15.6,C,8,R,LI,2.4,61877,Data Scientist,7
1,15.6,C,4,Q,WI,2.2,61954,Data Scientist,7
1,15.6,B,8,R,WI,2.2,61954,Data Scientist,7
1,15.6,B,8,R,WI,2.67,61954,Data Scientist,7
1,14,C,8,R,NO,1.5,61954,Data Scientist,7
1,15.6,B,8,R,WI,2.2,62032,Data Scientist,7
1,17.3,B,4,Q,WI,3,62420,Data Scientist,7
2,15.6,B,8,R,WI,2.04,62497,Data Scientist,7
1,15.6,C,8,R,NO,2.4,62730,Data Scientist,7
1,15.6,B,8,R,WI,1.95,62807,Data Scientist,7
1,14,B,8,R,WI,1.63,62962,Data Scientist,7
1,15.6,C,8,R,WI,2.2,62962,Data Scientist,7
1,15.6,B,8,R,WI,1.9,63040,Data Scientist,7
1,15.6,B,8,Q,WI,1.9,63424,Data Scientist,7
1,13.3,B,8,R,WI,1.62,63505,Data Scientist,7
1,15.6,C,8,R,WI,2.08,63505,Data Scientist,7
1,15.6,B,8,R,WI,2.3,63505,Data Scientist,7
1,15.6,C,8,R,WI,2.56,63505,Data Scientist,7
3,15.6,B,4,R,WI,1.9,63971,Data Scientist,7
1,15.6,B,4,R,WI,1.8,64281,Data Scientist,7
2,15.6,C,8,R,WI,2.5,64281,Data Scientist,7
1,15.6,B,8,R,WI,2.3,64358,Data Scientist,7
1,15.6,C,8,R,WI,2.2,64513,Data Scientist,7
1,15.6,B,8,R,WI,2.18,64823,Data Scientist,7
1,13.3,B,8,R,WI,1.58,64870,Data Scientist,7
1,15.6,B,4,R,WI,2.04,65056,Data Scientist,7
1,13.3,C,8,R,WI,1.62,65056,Data Scientist,7
1,15.6,C,12,R,WI,2.3,65056,Data Scientist,7
1,15.6,C,8,R,WI,2.5,65056,Data Scientist,7
1,15.6,C,8,Q,WI,2.2,65211,Data Scientist,7
1,15.6,B,8,R,WI,2.33,65444,Data Scientist,7
1,15.6,D,8,R,LI,2.4,65599,Data Scientist,7
1,15.6,C,8,R,WI,2.5,65599,Data Scientist,7
1,15.6,B,8,R,WI,2.04,65638,Data Scientist,7
1,13.3,B,8,R,WI,1.5,65676,Data Scientist,7
2,17.3,C,8,Q,NO,2.8,65831,Data Scientist,7
1,13.3,A,4,R,WI,1.65,65831,Data Scientist,7
1,15.6,C,4,S,WI,2.37,65901,Data Scientist,7
2,15.6,B,8,R,WI,2.3,65960,Data Scientist,7
1,17.3,B,8,Q,WI,3,66219,Data Scientist,7
3,15.6,C,8,R,WI,2.02,66297,Data Scientist,7
3,14,B,8,Q,WI,1.87,66457,Data Scientist,7
1,14,B,8,R,WI,1.6,66607,Data Scientist,7
1,14,C,8,R,WI,1.87,66607,Data Scientist,7
2,17.3,C,6,R,WI,2.8,66607,Data Scientist,7
1,15.6,C,16,Q,WI,2.3,66608,Data Scientist,7
0,15.6,B,8,R,WI,2,66684,Data Scientist,7
1,14,B,8,R,WI,1.63,66684,Data Scientist,7
1,17.3,C,8,Q,LI,2.83,67072,Data Scientist,7
1,15.6,C,4,R,LI,1.93,67382,Data Scientist,7
1,15.6,D,8,R,NO,2.4,67382,Data Scientist,7
1,13.3,C,8,R,WI,1.62,67383,Data Scientist,7
1,15.6,C,8,R,WI,2.2,67460,Data Scientist,7
1,15.6,D,8,R,LI,2.5,68158,Data Scientist,7
1,15.6,C,16,R,WI,2.59,68158,Data Scientist,7
1,14,B,8,R,WI,1.7,68158,Data Scientist,7
1,15.6,B,8,R,WI,2.1,68158,Data Scientist,7
1,15.6,C,8,R,WI,2.56,68158,Data Scientist,7
1,15.6,C,8,R,WI,2.05,68235,Data Scientist,7
3,13.3,B,4,R,WI,1.44,68313,Data Scientist,7
1,14,C,8,R,WI,1.6,68545,Data Scientist,7
1,17.3,B,8,R,LI,2.8,68933,Data Scientist,7
0,17.3,C,8,R,NO,2.69,68933,Data Scientist,7
1,13.3,B,8,R,WI,1.68,68933,Data Scientist,7
1,15.6,B,8,R,WI,2.04,68933,Data Scientist,7
1,17.3,B,8,R,WI,2.69,69088,Data Scientist,7
1,17.3,B,8,R,WI,2.5,69476,Data Scientist,7
1,15.6,C,8,R,WI,2.17,69701,Data Scientist,7
1,13.3,C,8,R,MA,1.34,69704,Data Scientist,7
1,15.6,C,16,Q,LI,2.36,69708,Data Scientist,7
1,15.6,C,8,Q,WI,2.33,69708,Data Scientist,7
1,15.6,C,8,Q,WI,2.2,69708,Data Scientist,7
1,15.6,B,12,R,WI,2.2,69708,Data Scientist,7
1,13.3,B,8,R,WI,1.29,69708,Data Scientist,7
1,14,B,8,R,WI,1.74,69708,Data Scientist,7
1,15.6,D,8,R,WI,2.62,69708,Data Scientist,7
1,15.6,C,8,R,WI,2.04,69786,Data Scientist,7
2,14,B,8,R,WI,1.56,69941,Data Scientist,7
1,15.6,C,8,R,WI,2.1,69941,Data Scientist,7
3,15.6,C,8,R,WI,1.99,70299,Home User,8
1,15.6,B,4,R,WI,2.07,70561,Home User,8
2,17.3,B,8,R,WI,2.63,70561,Home User,8
1,15.6,B,8,R,WI,2.3,70639,Home User,8
1,15.6,B,4,R,WI,2.18,70755,Home User,8
1,17.3,B,8,R,WI,2.5,70872,Home User,8
2,14,B,4,R,WI,1.75,70949,Home User,8
1,15.6,C,8,R,WI,2.2,71259,Home User,8
1,14,B,8,S,WI,1.8,71259,Home User,8
1,17.3,B,8,R,WI,2.5,71569,Home User,8
1,13.3,B,8,R,WI,1.27,71957,Home User,8
1,17.3,B,8,R,WI,2.5,71957,Home User,8
3,15.6,D,8,R,LI,2.62,72035,Home User,8
1,13.3,C,8,R,WI,1.4,72258,Home User,8
1,15.6,B,4,S,WI,1.88,72267,Home User,8
2,13.3,B,8,R,WI,1.28,72500,Home User,8
3,15.6,C,8,S,WI,1.9,72500,Home User,8
1,14,B,8,R,WI,1.9,72733,Home User,8
1,17.3,C,8,R,WI,3,72733,Home User,8
1,14,B,8,R,WI,1.4,72965,Home User,8
1,15.6,B,8,R,WI,2,73120,Home User,8
1,14,B,8,R,WI,2,73275,Home User,8
3,15.6,B,8,R,WI,1.9,73275,Home User,8
3,17.3,D,12,R,LI,3,73585,Home User,8
