Warranty Period(Days),Screen Size,Cpu,Ram,Gpu,OpSys,Weight,Price,Category,Label number
1,14,D,16,T,WI,1.95,224788,Gamer,14
1,15.6,D,24,T,WI,2.24,230139,Gamer,14
1,17.3,D,8,T,WI,3.4,232542,Gamer,14
1,17.3,D,16,T,WI,3.6,232542,Gamer,14
1,17.3,D,16,T,WI,4.42,233610,Gamer,14
1,15.6,D,16,T,WI,2.8,236885,Gamer,14
3,17.3,D,32,T,WI,4.42,238272,Gamer,14
1,12.5,D,8,S,WI,1.09,240374,Gamer,14
1,17.3,D,32,T,WI,4.42,244047,Gamer,14
1,17.3,D,32,T,WI,4.42,244173,Gamer,14
2,17.3,D,16,T,WI,4.36,244561,Gamer,14
1,15.6,C,16,T,WI,2.5,255804,Gamer,14
1,17.3,D,32,T,WI,4.42,278276,Gamer,14
1,17.3,D,32,T,WI,4.7,301631,Gamer,14
1,17.3,D,16,T,WI,3,340323,Gamer,14
1,15.6,D,32,T,WI,2.5,379868,Gamer,14
1,17.3,D,32,T,WI,3.49,426392,Gamer,14
1,17.3,D,32,T,WI,3.49,472916,Gamer,14
